customer_id,signup_date,city
1000,2024-07-03,Mumbai
1001,2024-12-18,Delhi
1002,2025-03-19,Bengaluru
1003,2024-06-12,Delhi
1004,2024-03-28,Bengaluru
1005,2025-04-07,Bengaluru
1006,2024-04-15,Chennai
1007,2025-01-02,Chennai
1008,2023-12-18,Delhi
1009,2024-03-30,Chennai
1010,2025-03-04,Delhi
1011,2025-05-01,Chennai
1012,2024-04-14,Chennai
1013,2024-11-18,Bengaluru
1014,2024-10-03,Chennai
1015,2025-07-28,Bengaluru
1016,2024-04-22,Bengaluru
1017,2025-06-24,Mumbai
1018,2024-05-19,Chennai
1019,2024-12-08,Mumbai
1020,2025-05-03,Bengaluru
1021,2024-10-06,Delhi
1022,2025-03-18,Mumbai
1023,2025-04-14,Bengaluru
1024,2025-05-26,Bengaluru
1025,2024-09-10,Bengaluru
1026,2024-11-19,Delhi
1027,2024-11-17,Bengaluru
1028,2025-03-18,Delhi
1029,2023-11-05,Delhi
1030,2025-05-30,Bengaluru
1031,2025-03-20,Bengaluru
1032,2023-10-15,Bengaluru
1033,2024-06-23,Chennai
1034,2023-10-06,Chennai
1035,2024-11-24,Mumbai
1036,2023-11-21,Delhi
1037,2025-07-04,Delhi
1038,2024-12-24,Delhi
1039,2024-03-28,Chennai
1040,2024-11-23,Chennai
1041,2025-09-13,Chennai
1042,2024-11-12,Delhi
1043,2024-07-10,Bengaluru
1044,2025-09-30,Delhi
1045,2024-10-25,Delhi
1046,2024-01-11,Bengaluru
1047,2024-08-12,Chennai
1048,2024-04-26,Chennai
1049,2023-10-09,Chennai
1050,2025-07-22,Mumbai
1051,2025-09-02,Chennai
1052,2024-03-10,Mumbai
1053,2024-08-19,Mumbai
1054,2025-08-15,Chennai
1055,2024-12-23,Delhi
1056,2025-05-08,Delhi
1057,2025-09-10,Mumbai
1058,2025-01-25,Mumbai
1059,2025-08-09,Bengaluru
1060,2024-10-24,Mumbai
1061,2024-03-20,Bengaluru
1062,2024-12-12,Chennai
1063,2025-06-03,Mumbai
1064,2024-03-30,Chennai
1065,2024-01-23,Mumbai
1066,2024-11-08,Mumbai
1067,2025-06-20,Delhi
1068,2025-03-07,Delhi
1069,2025-07-26,Delhi
1070,2023-11-23,Delhi
1071,2024-10-22,Delhi
1072,2025-02-10,Chennai
1073,2024-09-08,Mumbai
1074,2025-08-28,Chennai
1075,2024-03-03,Chennai
1076,2024-03-26,Mumbai
1077,2024-08-30,Delhi
1078,2025-04-25,Bengaluru
1079,2025-06-19,Delhi
